sbox_index,input_binary,input_decimal,output_binary,output_decimal,plaintext_hex,key_hex,ciphertext_hex,description
1,001100,12,0011,3,b1edbc8f5d0fa42c,5bf52d3a9c0fac39,55662ef1d442f3f5,S-box 1 transform for round 13
1,100001,33,1101,13,b1edbc8f5d0fa42c,5bf52d3a9c0fac39,55662ef1d442f3f5,S-box 1 transform for round 14
1,001110,14,0100,4,b1edbc8f5d0fa42c,5bf52d3a9c0fac39,55662ef1d442f3f5,S-box 1 transform for round 15
0,111111,63,1101,13,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 0
0,000000,0,1110,14,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 1
0,101100,44,0010,2,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 2
0,001001,9,1110,14,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 3
0,110010,50,1100,12,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 4
0,000000,0,1110,14,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 5
0,110101,53,0011,3,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 6
0,100011,35,1100,12,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 7
0,000001,1,0000,0,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 8
0,100100,36,1110,14,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 9
0,110101,53,0011,3,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 10
0,100011,35,1100,12,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 11
0,011111,31,1000,8,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 12
0,000101,5,0111,7,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 13
0,100010,34,0001,1,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 14
0,101111,47,0111,7,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 0 transform for round 15
1,110110,54,0110,6,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 0
1,111100,60,0010,2,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 1
1,011010,26,0000,0,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 2
1,001010,10,1011,11,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 3
1,010110,22,1101,13,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 4
1,100011,35,1000,8,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 5
1,100110,38,1011,11,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 6
1,101001,41,0011,3,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 7
1,111010,58,0011,3,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 8
1,011111,31,0101,5,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 9
1,000011,3,1101,13,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 10
1,101110,46,0001,1,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 11
1,111010,58,0011,3,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 12
1,110110,54,0110,6,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 13
1,011110,30,1010,10,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 14
1,011110,30,1010,10,6eb8d5a9731f0afc,252ebc7ceb78f06a,dce7906f0bad656e,S-box 1 transform for round 15
0,101001,41,0100,4,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 0
0,000101,5,0111,7,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 1
0,110100,52,1001,9,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 2
0,001101,13,1101,13,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 3
0,010110,22,1100,12,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 4
0,100100,36,1110,14,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 5
0,101101,45,0001,1,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 6
0,001001,9,1110,14,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 7
0,101011,43,1001,9,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 8
0,011101,29,0011,3,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 9
0,100010,34,0001,1,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 10
0,000011,3,1111,15,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 11
0,001011,11,0010,2,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 12
0,100111,39,0010,2,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 13
0,110110,54,0111,7,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 14
0,011101,29,0011,3,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 0 transform for round 15
1,110011,51,0110,6,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 0
1,000111,7,0111,7,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 1
1,110000,48,0101,5,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 2
1,101011,43,1111,15,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 3
1,010111,23,1010,10,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 4
1,011110,30,1010,10,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 5
1,000101,5,0100,4,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 6
1,001110,14,0100,4,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 7
1,001110,14,0100,4,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 8
1,011100,28,0101,5,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 9
1,100001,33,1101,13,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 10
1,101011,43,1111,15,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 11
1,011000,24,1100,12,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 12
1,001100,12,0011,3,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 13
1,000110,6,1110,14,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 14
1,101000,40,1010,10,268587bee304a193,8a72e1176bdf6651,8084227a0be1600b,S-box 1 transform for round 15
0,001100,12,1011,11,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 0
0,100001,33,1111,15,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 1
0,101011,43,1001,9,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 2
0,011111,31,1000,8,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 3
0,100001,33,1111,15,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 4
0,101110,46,1011,11,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 5
0,011001,25,1001,9,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 6
0,010101,21,1100,12,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 7
0,100100,36,1110,14,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 8
0,010111,23,1011,11,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 9
0,100111,39,0010,2,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 10
0,110110,54,0111,7,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 11
0,010011,19,0110,6,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 12
0,010101,21,1100,12,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 13
0,100001,33,1111,15,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 14
0,110001,49,0101,5,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 0 transform for round 15
1,001001,9,1111,15,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 0
1,100100,36,0111,7,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 1
1,110010,50,1000,8,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 2
1,010001,17,1100,12,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 3
1,000101,5,0100,4,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 4
1,100101,37,1010,10,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 5
1,001000,8,0110,6,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 6
1,010110,22,1101,13,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 7
1,000000,0,1111,15,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 8
1,000001,1,0011,3,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 9
1,001010,10,1011,11,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 10
1,111000,56,1001,9,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 11
1,111110,62,1111,15,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 12
1,001001,9,1111,15,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 13
1,000100,4,1000,8,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 14
1,011011,27,1001,9,1a43c3968970ff64,fa6ec489973d18e3,1a41e92c2d5fcd24,S-box 1 transform for round 15
0,101011,43,1001,9,245576f0821f97d8,7fb50b4be7ecae7c,c5ef076696dbb50c,S-box 0 transform for round 0
0,110010,50,1100,12,245576f0821f97d8,7fb50b4be7ecae7c,c5ef076696dbb50c,S-box 0 transform for round 1
0,111011,59,0000,0,245576f0821f97d8,7fb50b4be7ecae7c,c5ef076696dbb50c,S-box 0 transform for round 2
0,101110,46,1011,11,245576f0821f97d8,7fb50b4be7ecae7c,c5ef076696dbb50c,S-box 0 transform for round 3
0,000010,2,0100,4,245576f0821f97d8,7fb50b4be7ecae7c,c5ef076696dbb50c,S-box 0 transform for round 4
0,010000,16,0011,3,245576f0821f97d8,7fb50b4be7ecae7c,c5ef076696dbb50c,S-box 0 transform for round 5
